owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000098,"Kunstgesellschaft Davos KGD <Spielstätten: SAMD Aula, Montana Saal u.a.>",Davos,Davos,GR,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000099,Kultur Deitingen (Kulturverein Deitingen),Deitingen,Deitingen,SO,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000100,Theater Dietikon (Verein Kellertheater Dietikon) <Spielstätte: Stadtkeller Dietikon>,Dietikon,Dietikon,ZH,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000101,"Stiftung Kultur am Bahnhof <Spielstätte: Das Neue Theater am Bahnhof (NtaB),ab 2015/16: neuestheater.ch)",Dornach,Dornach,BL,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000102,Kultur in der Kirche <Spielstätte: Reformierte Kirche Düdingen>,Düdingen,Düdingen,FR,,KTV,,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000103,Kultur in Engelburg (KiE),Engelburg,Engelburg,SG,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000104,Kulturverein Chärnehus Einsiedeln,Einsiedeln,Einsiedeln,SZ,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000105,verwegen_kulturkontakt,Emmenbrücke,Emmenbrücke,KU,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000106,city-art Künstler-agentur (city-art die künstler-crew),Baden,Ennetbaden,AG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000107,Kulturtreff Erlenbach,Erlenbach,Erlenbach,ZH,,,a,,,,,,
