owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000182,Les Reines Prochaines,"Fuchs, Michèle + Madörin, Fränzi + Zwick, Sus + Mathis, Muda (ehemalig: Rist, Pipilotti + Alonso, Teresa + Schmid, Regina Florida + Hauert, Sibylle + Naegelin, Barbara + Streiff, Gabi",Basel,Basel,BS,,KTV,,a,1987-,,,,1 C,"1990, 1993-"
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000183,Limmerondo,"Bischof, Philippe u.a.",Basel,Basel,BS,,,,na,1993,,,,1 C,1993
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000184,Lyrixx (Duo),"Helfenfinger, Christoph + Geisseler, Roger",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000185,Mandragola (Bewegungs- und Sprechtheater) ,-0,Basel,Basel,BS,,,,a,1992- (noch existent?),,,,1 C,1992-(2013)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000186,Märchentourneetheater Fidibus (Märchentheater Fidibus)(Märlitheater Rasser/Münzel)(Basler Märlitheater)(Basler Märli-Bühne),"Rasser, Sabina + Münzel, Roland",Basel,Basel,BS,,,,a,1986-,Märchentourneetheater Sabine Rasser / Roland Münzel,,,1 C und 1 C (zwei separate Couvert-Ablagen),1988 / 2002 1994-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000187,Mamouchi,"Gunsilius, Maike + Dorn, Isabel",Basel/Berlin,Basel,BS,,,,a,2006- (noch existent?),,,,1 C,2006-(2007)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000188,Matterhornproduktionen (Matterhorn Produktionen),"Greuel, Ursina + Krneta, Guy",Basel,Zürich,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000189,MedienFalle,"Egle, Frank + Wimder, Ruth",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000190,Merlin-Theater,?,Basel,Basel,BS,,,,na,?,,,,1 C,1992
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000191,miR Compagnie (Movement in Relation),-0,Basel,Basel,BS,,,,a,?,Movement in Relation,,,1 C,2002 / 2004
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000192,Momentum (Company) (Company Momentum),-0,Basel,Basel,BS,,,,a,(noch existent?,,,,1 C,1999
