owl:Class,dct:identifier,schema:name,ex:Art,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:Rep,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000148,Galerietheater Die Rampe,P G,x,Bern,Bern,BE,,x,na,r,1961-1982,,,,3 S,"1958, 1961-1982",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000149,Gaskessel,G,"??? (Theatersport, TFS)",Bern,Bern,BE,,x,a,,?,,,,1 C,(1974)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000150,Gaswerkareal,-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C,2012,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000151,Gurten uptwon,-0,x,Bern,Bern: Gurten,BE,,x,a,,?,,,,1 C,(2003)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000152,Heitere Fahne,G,RKT,Köniz (Wabern),Bern,BE,,x,a,,2013-,,,,1 C,2013-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000153,Historisches Museum Bern,-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C,"1996, 1998, 2003, 2005, 2008",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000154,Hotel Bern,-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C,"1986, 1998, 2007",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000155,Hôtel de Musique,,x,Bern,Bern,BE,,x,na,,1766/1800-1900,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000156,Innere Enge (Restaurant),-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,(1984)-(1986),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000157,Intimes Theater,-0,x,Bern,Bern,BE,,x,na,,"1919, 1966-1967",,,,1 C,"1919, 1966",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000158,Junkergasse 43,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1981, 1983, 1988",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000159,Kellertheater Katakömbli,G,VOK,Bern,Bern (siehe auch unter Kabarett: Bern: Bärner Rohrspatze),BE,,KTV,a,,"1962-1985, 1984-",,,,1 C,"(1978), 1984-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000160,kleintheater kramgasse 6 (Tribühnchen) (später ab 2003 ONO),P G,x,Bern,Bern,BE,,x,na,r,1953-2003,,,,2 S,(1956)-2003,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000161,Klötzlikeller,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1997, 1998",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000162,"Konzert Theater Bern (KTB) (Spielstätten: Stadttheater, Vidmarhallen, Vidmar 1 und 2, inkl. Provisorium: Kubus am Waisenhausplatz) (inkl. Tanzcompagnie Konzert Theater Bern) (inkl. Träger: Stiftung Konzert Theater Bern)",E,GST,Bern,Bern <ab 1986/87 eigene Ablage Vidmar>,BE,,SBV,a,r,1903-,"Hôtel de Musique (vor 1903), Stadttheater Bern, Kornhaus, Mansarde, Altes Schlachthaus. Wichtig: Nouvelle Scène, französisch-sprachige Gastspiele im Stadttheater unter: Bern, Diverse",,,90 S           (inkl. 4 Kritiker-bücher 1924-1932),"1883-1917 (vereinzelte), 1917/18-        ",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000163,Kornhaus Stadtsaal (Kornhausforum),-0,x,Bern,"Bern (Theater im Kornhaus, Kornhausbühne siehe unter Bern: Stadttheater)",BE,,x,a,,?,,,,1 C,(1997)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000164,Kultur-Casino Bern (Kulturcasino Bern),P G,Grosse Konzert Säle,Bern,Bern,BE,,x,a,,1908-,,,,1 C,"1952, 1954, 1956, 1957, 1974, 1975, 1981, 1983, 1988-",
